Model,Accuracy,F1-Score,Precision,Recall,Training Time (s),Inference Time (ms)
Logistic Regression,1.0,1.0,1.0,1.0,0.04700279235839844,0.00018841028213500977
SVM (RBF),1.0,1.0,1.0,1.0,0.021090984344482422,0.0030663609504699707
Random Forest,1.0,1.0,1.0,1.0,0.35311031341552734,0.0020232796669006348
XGBoost,1.0,1.0,1.0,1.0,0.2310194969177246,0.0005539655685424805
Gradient Boosting (GBM),1.0,1.0,1.0,1.0,2.4673171043395996,0.002043485641479492
Neural Network (MLP),1.0,1.0,1.0,1.0,0.33289074897766113,0.0006334185600280762
